aMSaBU	a/MSaBU/	aMSaBU/
sAtyaMkArya	sAtya/MkArya	sAtyaMkArya/
sAtyayajYa	sAtya/yajYa/	sAtyayajYa/
sAtyayajYi	sAtya/yajYi	sA/tyayajYi
sAtyahavya	sAtya/havya/	sAtyahavya/
sADukArin	sADu/kAri/n	sADukAri/n
sADukft	sADu/kf/t	sADukf/t
sADudevin	sADu/devi/n	sADudevi/n
sAmanya	sAmanya/	sAmanya^
sAmrAjya	sA/mrAjya,sA/mrAjya/	sAmrAjya/,sA/mrAjya
sAvitrIputrIya	sAvitrI/putrIya	sAvitrIputrI/ya
sikatya	sikatya/	sikatya^
sinDutas	si/nDuta/s	sinDuta/s
sinDusftya	si/nDusf/tya	sinDusf/tya
sIravAha	sI/ravAha/	sIravAha/
sutapA	suta/pA/	sutapA/
sutapAvan	suta/pA/van	sutapA/van
sutapeya	suta/pe/ya	sutape/ya
suUti	su/Uti/	suUti/
sukanyA	su/kanyA/	sukanyA/
sukaparda	su/kaparda/	sukaparda/
sukara	su/ka/ra	suka/ra
sukarman	su/karman	suka/rman
sukiMSuka	su/kiMSuka/	sukiMSuka/
sukIrti	su/kIrti/	sukIrti/
sukumArIka	su/kumArIka	sukumArI/ka
sukurIra	su/kurIra/	sukurIra/
sukft	su/kf/t	sukf/t
sukfta	su/kfta/,su/kfta	sukfta/,su/kfta
sukftya	su/kftya,su/kftya/	sukftya/
sukftyA	su/kftyA/	sukftyA/
sukftvan	su/kf/tvan	sukf/tvan
suketa	su/ke/ta	suke/ta
suketu	su/ketu/	suketu/
sukratu	su/kra/tu	sukra/tu
sukratUyA	su/kratUyA	sukratUyA/
sukzatra	su/kzatra/	sukzatra/
sukzaya	su/kza/ya	sukza/ya
sukziti	su/kziti/	sukziti/
sukzetra	su/kze/tra	sukze/tra
sukzetratA	su/kze/tra/tA	sukzetra/tA
sukzetriyA	su/kzetriyA	sukzetriyA/
sukzeman	su/kze/man	sukze/man
sukzma	su/kzma/	sukzma/
suKa	su/Ka/,suKa/	suKa/
suKAdi	su/KAdi	suKAdi/
suganDitejana	suga/nDitejana	suganDite/jana
sujAta	sujAta/	su/jAta,sujAta/
sudarSa	suda/rSa	su/darSa
sudinatva	sudi/natva/	sudinatva/
sudinAha	sudi/nAha	sudinAha/
sudevya	sudevya/	sudevya^
supaTya	supaTya/	supaTya^
supraketa	supraketa/	supraketa/,supra/keta
suprAvya	suprAvya/	suprAvya^
suPala	suPa/la,suPala/	suPa/la
suBagaMkaraRa	suBa/ga/MkaraRa	suBaga/MkaraRa
suBagatva	suBa/gatva/	suBagatva/
suptapralapita	supta/pralapita	suptapralapita/
sumeDa	sumeDa/	sumeDa/,sume/Da
sumnahU	sumna/hU/	sumnahU/
suyavasAd	suya/vasA/d	suyavasA/d
suyavasin	suya/vasi/n	suyavasi/n
suyavasyu	suya/vasyu/	suyavasyu/
suyaSas	su/yaSas	suya/Sas
surUpakftnu	surUpa/kftnu/	surUpakftnu/
suvIra	suvI/ra	su/vIra,suvI/ra
suvIratA	suvI/ra/tA	suvIra/tA
suraBiganDi	suraBi/ganDi	suraBiganDi/
surAkAra	su/rAkAra/	surAkAra/
surADAna	su/rADA/na	surADA/na
surApARa	su/rApA/Ra	surApA/Ra
surApIta	su/rApIta	surApIta/
surAma	su/rAma	surA/ma
surASU	su/rASU/	surASU/
surAsoma	su/rAsoma/	surAsoma/
suSevya	suSe/vya	suSe^vya
suzWuvah	suzWu/va/h	suzWuva/h
sUnu	sUnu/	sU/nu
sUktavAka	sUkta/vAka/	sUktavAka/
sUktavAc	sUkta/vA/c	sUktavA/c,sUkta/vAc
sUrI	sU/rI,sUrI/	sUrI/
sUryaSvit	sU/ryaSvi/t	sUryaSvi/t
sUryastut	sU/ryastu/t	sUryastu/t
sUrmya	sUrmya/	sUrmya^
sfdAku	sf/dAku	sfdA/ku
senAjU	se/nAjU/	senAjU/
senAnI	se/nAnI/	senAnI/
senAmuKa	se/nAmuKa/	senAmuKa/
soBarIyu	soBarIyu/	soBarI/yu
somakrayaRa	so/makra/yaRa	somakra/yaRa
somagraha	so/magraha/	somagraha/
somacakzas	so/macakzas	soma/cakzas
somajamBan	so/majamBan	somajamBa/n
somajA	so/majA/	somajA/
somaDAna	so/maDA/na	somaDA/na
somapa	so/mapa/	somapa/
somaparibAD	so/maparibA/D	somaparibA/D
somaparvan	so/mapa/rvan	somapa/rvan
somapA	so/mapA/	somapA/
somapAna	so/mapAna,so/mapA/na	somapA/na
somapAvan	so/mapA/van	somapA/van
somapitsaru	so/mapi/tsaru	somapi/tsaru
somapITa	so/mapITa/	somapITa/
somapITin	so/mapITi/n	somapITi/n
somapeya	so/mape/ya	somape/ya
somaBft	so/maBf/t	somaBf/t
somamad	so/mama/d	somama/d
somamada	so/mamada/	somamada/
somamaya	so/mamaya	somama/ya
somayAjin	so/mayAji/n	somayAji/n
somayoga	so/mayoga/	somayoga/
somarakza	so/marakza/	somarakza/
somarUpa	so/marUpa,so/marUpa/	somarUpa/
somavikrayin	so/mavikrayi/n	somavikrayi/n
somasut	so/masu/t	somasu/t
somasutyA	so/masutyA/	somasutyA/
somasutvan	so/masu/tvan	somasu/tvan
sOBagatva	sO/Bagatva/	sOBagatva/
sOrya	sO/rya	sOrya/
sOryayAma	sO/ryayAma	sOryayAma/
sOryavarcasa	sO/ryavarcasa/	sOryavarcasa/
skamBasarjana	skamBa/sa/rjana	skamBasa/rjana
skamBana	skamBana/	ska/mBana
stambaGana	stamba/Gana	stambaGana/
stambaGna	stamba/Gna	stambaGna/
stambaja	stamba/ja/	stambaja/
stambayajus	stamba/yajus	stambayaju/s
stambaSas	stamba/Sa/s	stambaSa/s
stipA	sti/pA/,stipA/	stipA/
stomamaya	sto/mama/ya	stomama/ya
stomavarDana	sto/mava/rDana	stomava/rDana
stukAvin	stu/kAvi/n	stukAvi/n
stokaSas	stoka/Sas	stokaSa/s
steyakft	ste/yakf/t	steyakf/t
strIpuMsa	strI/puMsa	strIpuMsa/
strIprajYA	strI/prajYA/	strIprajYA/
strIzaMsAda	strI/zaMsAda/	strIzaMsAda/
strIzaKa	strI/zaKa/	strIzaKa/
sTAnapata	sTA/napata	sTAnapata/
sTititA	sTi/titA	sTiti/tA
sTURArAja	sTU/RArAja/	sTURArAja/
sTUri	sTUri/	sTU/ri
snAvanya	snAvanya/	snAvanya^
syonakft	syona/kf/t	syonakf/t
syonaSI	syona/SI	syonaSI/
srotasya	srotasya/	srotasya^
svakAmin	sva/kAmi/n	svakAmi/n
svaja	sva/ja/	svaja/
svaDA	sva/DA,svaDA/	svaDA/
svapati	sva/pati,sva/pati/	sva/pati
svapU	sva/pU/,svapU/	svapU/
svaByasa	sva/Byasa/	svaByasa/
svayu	sva/yu/,svayu/	svayu/
svayugvan	sva/yu/gvan	svayu/gvan
svayuj	sva/yu/j	svayu/j
svarAj	sva/rA/j	svarA/j
svarAjan	sva/rA/jan	svarA/jan
svarAjya	sva/rA/jya	svarA/jya
svavfj	sva/vfj	svavf/j
svasic	sva/si/c	svasi/c
svasft	sva/sft	svasf/t
svaDAkAra	svaDA/kAra/	svaDAkAra/
svayamavapanna	svaya/mavapanna/	svayamavapanna/
svayamAtfRRa	svaya/mAtfRRa	svayamAtfRRa/
svayamudita	svaya/mudita/	svayamudita/
svayamupeta	svaya/mupeta/	svayamupeta/
svAdukzadman	svAdu/kza/dman	svAdukza/dman
svAdurAti	svAdu/rAti/	svAdurAti/
svAduzaMsad	svAdu/zaMsa/d	svAduzaMsa/d
svAdman	svAdma/n,svA/dma/n	svAdma/n,svA/dman
svaDvaryu	sva/Dvaryu	sva^Dvaryu
svapnanaMSana	sva/pnanaMSana	svapnana/MSana
svapas	sva/pas	sva/pas,svapa/s
svapasya	svapasya/	svapasya^
svaBigUrta	sva/BigUrta	sva^BigUrta
svaByakta	sva/Byakta	sva^Byakta
svar	sva/r	sva^r
svarga	sva/rga,svarga/	svarga/
svarcakzas	sva/rcakzas	sva^rcakzas
svarcanas	sva/rcanas	sva^rcanas
svarjit	sva/rji/t	svarji/t
svarjeza	sva/rjeza/	svarjeza/
svardfS	sva/rdf/S	svardf/S
svarmI|a	sva/rmI|a	sva^rmI|a
svarvid	sva/rvi/d	svarvi/d
svarzA	sva/rzA/	svarzA/
svarzAti	sva/rzAti	sva^rzAti
svargya	svargya/	svargya^
svasftva	sva/sftva/	svasftva/
svastigA	svasti/gA/	svastigA/
svastidA	svasti/dA/	svastidA/
svastivah	svasti/vah	svastiva/h
svastivAhana	svasti/vA/hana	svastivA/hana
svAgrayaRa	svA/grayaRa	svA^grayaRa
svAtata	svA/tata	svA^tata
svAhAkAra	svA/hAkAra/	svAhAkAra/
svAhya	svAhya/	svAhya^
svAhuta	svA/huta	svA^huta
svizwa	svi/zwa	svi^zwa
svizwakft	svi/zwakf/t	svizwakf/t
svara	sva/ra	svara/
svarya	svarya/	svarya^
svetavya	sve/tavya	sve^tavya
haMsasAci	haMsa/sA/ci	haMsasA/ci
hanavya	hanavya/	hanavya^
hantakAra	ha/ntakAra/	hantakAra/
harasvin	ha/rasvi/n	harasvi/n
hArya	hArya/	hA/rya
haridru	ha/ridru,hari/dru	hari/dru
haripA	ha/ripA/	haripA/
hariyUpIyA	ha/riyUpI/yA	hariyUpI/yA
hariyojana	ha/riyo/jana	hariyo/jana
hariSaya	ha/riSaya/	hariSaya/
hariSrI	ha/riSrI/	hariSrI/
harizac	ha/riza/c	hariza/c
harizWA	ha/rizWA/	harizWA/
haritajamBan	ha/ritajamBan	haritajamBa/n
haritaBezaja	ha/ritaBezaja/	haritaBezaja/
havirmaTi	havirma/Ti	havi/rma/Ti
havizya	havizya/	havizya^
havyavah	havya/va/h	havyava/h
havyavAha	havya/vAha/	havyavAha/
havyavAhana	havya/vA/hana	havyavA/hana
havyaSoDana	havya/So/Dana	havyaSo/Dana
havyasUd	havya/sU/d	havyasU/d
havyasUdana	havya/sU/dana	havyasU/dana
havanaSrut	ha/vanaSru/t	havanaSru/t
havanasyad	ha/vanasya/d	havanasya/d
hastagfhya	ha/stagfhya	hastagf/hya
hastagrABa	ha/stagrABa/	hastagrABa/
hastaGna	ha/staGna/	hastaGna/
hArda	hA/rda	hArda/
hiNkAra	hi/NkAra/	hiNkAra/
himavata	hima/vata	himavata/
heman	he/man,hema/n	hema/n,he/man
hiraRyakaSipu	hiraRyakaSipu/,hi/raRyakaSipu/	hiraRyakaSipu/,hi/raRyakaSipu
hiraRyajyotis	hiraRyajyoti/s	hiraRyajyoti/s,hi/raRyajyotis
hiraRyaraTa	hiraRyaraTa/,hi/raRyaraTa/	hiraRyaraTa/,hi/raRyaraTa
hfdgolIya	hf/dgolIya	hfdgolI/ya
hfdbala	hf/dbala/	hfdbala/
hfdroga	hf/droga/	hfdroga/
hfdayaja	hf/dayaja/	hfdayaja/
hfdayaSUla	hf/dayaSUla/	hfdayaSUla/
hfdayaSriz	hf/dayaSri/z	hfdayaSri/z
hfdayya	hfdayya/	hfdayya^
hemantajabDa	hemanta/jabDa	hemantaja/bDa
hEraRyanABa	hEraRya/nABa/	hEraRyanABa/
hotfcamasa	ho/tfcamasa/	hotfcamasa/
hotftva	ho/tftva/	hotftva/
hotfvarya	ho/tfva/rya	hotfva/rya
hotfvUrya	ho/tfvU/rya	hotfvU/rya
hotfzadana	ho/tfza/dana	hotfza/dana
hotravah	hotra/va/h	hotrava/h
hradayya	hradayya/	hradayya^
hradecakzus	hradeca/kzus	hrade/cakzus
hotrAvid	ho/trAvid	hotrAvi/d
