udaYc : old:3 ['32301.7', '32301.8', '32301.9']  new:1 ['32301.1']
udAratA : old:2 ['32513', '32514']  new:0 []
udAratva : old:3 ['32515', '32516', '32517']  new:1 ['32512.1']
udgraTya : old:1 ['32816.1']  new:0 []
udgranTya : old:2 ['32817', '32817.1']  new:1 ['32816.1']
udraNka : old:1 ['33495.1']  new:0 []
udraNga : old:2 ['33495.2', '33495.3']  new:1 ['33495.1']
udvignacitta : old:1 ['33636']  new:0 []
udvignacetas : old:2 ['33637', '33638']  new:1 ['33635.1']
udvignamanas : old:2 ['33639', '33640']  new:1 ['33635.2']
udvignahfdaya : old:2 ['33641', '33642']  new:1 ['33635.3']
udvignadfS : old:1 ['33644']  new:0 []
udvignalocana : old:2 ['33645', '33646']  new:1 ['33643.1']
upatakzaka : old:1 ['34615.1']  new:1 ['34615.1']
upayogitA : old:1 ['35450']  new:0 []
upayogitva : old:2 ['35451', '35452']  new:1 ['35449.1']
upaSAyitA : old:1 ['35952']  new:0 []
upaSAyitva : old:2 ['35953', '35954']  new:1 ['35951.1']
ulba : old:3 ['37526.1', '37526.2', '37526.25']  new:0 []
ulva : old:4 ['37526.3', '37526.4', '37526.5', '37526.75']  new:1 ['37526.1']
ulbaRa : old:6 ['37528', '37529', '37530', '37531', '37532', '37533']  new:0 []
ulbaRA : old:1 ['37534']  new:0 []
ulbaRatApa : old:1 ['37534.1']  new:1 ['37534.1']
ulvaRa : old:5 ['37537', '37538', '37539', '37540', '37541']  new:0 []
ulvaRA : old:1 ['37542']  new:0 []
UbaDya : old:1 ['37996.1']  new:1 ['37997']
UvaDya : old:1 ['37997']  new:1 ['37996.1']
UbaDyagoha : old:1 ['37996.2']  new:1 ['37997.1']
UrDvaretas : old:2 ['38235.1', '38235.2']  new:0 []
UrDvaretastIrTa : old:1 ['38235.3']  new:1 ['38236']
