k1_slp1,k1_iast,lexicographer_only_any,botanical_only,dcs_attested,dcs_band,dcs_band_label,clean_confirmation
kAkAdanI,kākādanī,no,no,yes,3,uncommon(10-99),no
kAkAhvAnA,kākāhvānā,no,yes,yes,1,hapax(1),no
kAkAtanI,kākātanī,no,yes,no,,,no
kAka,kāka,yes,no,yes,4,common(100-999),no
kAkaGnI,kākaghnī,yes,yes,yes,1,hapax(1),yes
kAkaPala,kākaphala,yes,yes,yes,1,hapax(1),yes
kAkaRAhvA,kākaṇāhvā,no,yes,no,,,no
kAkaRa,kākaṇa,no,no,yes,3,uncommon(10-99),no
kAkaRantikA,kākaṇantikā,no,yes,yes,2,rare(2-9),no
kAkaSIrza,kākaśīrṣa,yes,yes,no,,,no
kAkaSimbI,kākaśimbī,yes,yes,yes,1,hapax(1),yes
kAkabIjaka,kākabījaka,no,yes,yes,1,hapax(1),no
kAkaciYcA,kākaciñcā,yes,yes,yes,2,rare(2-9),yes
kAkaciYci,kākaciñci,yes,yes,no,,,no
kAkaciYcika,kākaciñcika,no,no,no,,,no
kAkajaNGA,kākajaṅghā,yes,yes,yes,3,uncommon(10-99),yes
kAkajambU,kākajambū,yes,no,yes,2,rare(2-9),no
kAkakaNgu,kākakaṅgu,yes,yes,no,,,no
kAkakalA,kākakalā,yes,yes,no,,,no
kAkamAcikA,kākamācikā,yes,yes,yes,3,uncommon(10-99),yes
kAkamArin,kākamārin,no,yes,no,,,no
kAkamarda,kākamarda,yes,yes,no,,,no
kAkamezI,kākameṣī,yes,yes,no,,,no
kAkamudgA,kākamudgā,yes,yes,yes,2,rare(2-9),yes
kAkanAman,kākanāman,yes,yes,no,,,no
kAkanAsA,kākanāsā,no,yes,yes,3,uncommon(10-99),no
kAkanAsa,kākanāsa,yes,yes,no,,,no
kAkanAsikA,kākanāsikā,yes,no,yes,2,rare(2-9),no
kAkandI,kākandī,no,no,no,,,no
kAkapIlu,kākapīlu,yes,yes,yes,2,rare(2-9),yes
kAkapIluka,kākapīluka,yes,yes,yes,1,hapax(1),yes
kAkaparRI,kākaparṇī,no,yes,yes,1,hapax(1),no
kAkaruhA,kākaruhā,yes,yes,yes,1,hapax(1),yes
kAkasPUrja,kākasphūrja,yes,yes,yes,1,hapax(1),yes
kAkatiktA,kākatiktā,yes,yes,yes,2,rare(2-9),yes
kAkatindu,kākatindu,yes,yes,yes,1,hapax(1),yes
kAkatinduka,kākatinduka,yes,yes,yes,2,rare(2-9),yes
kAkatuRqI,kākatuṇḍī,yes,no,yes,3,uncommon(10-99),no
kAkatuRqa,kākatuṇḍa,no,yes,yes,2,rare(2-9),no
kAkatuRqikA,kākatuṇḍikā,yes,yes,yes,2,rare(2-9),yes
kAkavallarI,kākavallarī,no,no,no,,,no
kAkekzu,kākekṣu,yes,yes,yes,2,rare(2-9),yes
kAkendu,kākendu,yes,yes,yes,2,rare(2-9),yes
kAkezwa,kākeṣṭa,yes,yes,yes,1,hapax(1),yes
kAkiRI,kākiṇī,yes,no,yes,3,uncommon(10-99),no
kAkinI,kākinī,yes,no,yes,3,uncommon(10-99),no
kAkola,kākola,no,no,yes,3,uncommon(10-99),no
kAkoqumbara,kākoḍumbara,no,yes,no,,,no
kAkzI,kākṣī,yes,no,yes,2,rare(2-9),no
kAkzIva,kākṣīva,yes,no,yes,2,rare(2-9),no
kAkzIvaka,kākṣīvaka,yes,yes,no,,,no
kAlA,kālā,no,no,yes,3,uncommon(10-99),no
kAlAguru,kālāguru,no,yes,yes,3,uncommon(10-99),no
kAlAnusArin,kālānusārin,no,yes,yes,2,rare(2-9),no
kAlAnusArya,kālānusārya,yes,no,yes,2,rare(2-9),no
kAlAnusAryaka,kālānusāryaka,yes,yes,yes,2,rare(2-9),yes
kAlI,kālī,yes,no,yes,3,uncommon(10-99),no
kAlIyaka,kālīyaka,yes,no,yes,3,uncommon(10-99),no
kAla,kāla,yes,no,yes,5,very-common(1000+),no
kAlaBARqikA,kālabhāṇḍikā,yes,yes,yes,1,hapax(1),yes
kAlaNkata,kālaṅkata,no,yes,no,,,no
kAlaSAka,kālaśāka,yes,yes,yes,3,uncommon(10-99),yes
kAlabIjaka,kālabījaka,yes,yes,no,,,no
kAlakaRWa,kālakaṇṭha,no,no,yes,2,rare(2-9),no
kAlakacu,kālakacu,yes,yes,no,,,no
kAlakalAya,kālakalāya,yes,yes,no,,,no
kAlakastUrI,kālakastūrī,no,yes,no,,,no
kAlamAla,kālamāla,no,yes,yes,2,rare(2-9),no
kAlamUla,kālamūla,yes,yes,yes,1,hapax(1),yes
kAlamallikA,kālamallikā,yes,yes,no,,,no
kAlameSikA,kālameśikā,yes,yes,no,,,no
kAlamezI,kālameṣī,yes,no,yes,3,uncommon(10-99),no
kAlaniryAsa,kālaniryāsa,yes,yes,yes,2,rare(2-9),yes
kAlaparRI,kālaparṇī,no,no,yes,1,hapax(1),no
kAlaparRa,kālaparṇa,yes,yes,no,,,no
kAlapeSikA,kālapeśikā,no,yes,no,,,no
kAlaskanDa,kālaskandha,yes,no,yes,3,uncommon(10-99),no
kAlaskanDin,kālaskandhin,yes,yes,no,,,no
kAlatAla,kālatāla,yes,yes,yes,1,hapax(1),yes
kAlavfkza,kālavṛkṣa,no,yes,no,,,no
kAlavfntI,kālavṛntī,yes,yes,yes,2,rare(2-9),yes
kAleyaka,kāleyaka,yes,no,yes,3,uncommon(10-99),no
kAliNga,kāliṅga,yes,no,yes,3,uncommon(10-99),no
kAliNgaka,kāliṅgaka,no,no,yes,2,rare(2-9),no
kAliNgikA,kāliṅgikā,yes,yes,no,,,no
kAlikA,kālikā,yes,no,yes,4,common(100-999),no
kAliyaka,kāliyaka,yes,yes,no,,,no
kAlpa,kālpa,yes,no,no,,,no
kAlpaka,kālpaka,yes,yes,yes,1,hapax(1),yes
kAmANga,kāmāṅga,yes,yes,yes,2,rare(2-9),yes
kAmIna,kāmīna,yes,yes,yes,1,hapax(1),yes
kAmaKaqgadalA,kāmakhaḍgadalā,yes,yes,yes,1,hapax(1),yes
kAmacAriRI,kāmacāriṇī,no,no,yes,2,rare(2-9),no
kAmadA,kāmadā,no,no,no,,,no
kAmadUtI,kāmadūtī,no,no,yes,1,hapax(1),no
kAmadUtikA,kāmadūtikā,yes,yes,no,,,no
kAmakAntA,kāmakāntā,yes,yes,yes,1,hapax(1),yes
kAmalatA,kāmalatā,no,no,no,,,no
kAmanA,kāmanā,no,no,yes,2,rare(2-9),no
kAmaparRI,kāmaparṇī,no,yes,no,,,no
kAmaparRikA,kāmaparṇikā,no,yes,no,,,no
kAmapriyakarI,kāmapriyakarī,yes,yes,no,,,no
kAmarUpiRI,kāmarūpiṇī,yes,yes,yes,2,rare(2-9),yes
kAmataru,kāmataru,no,no,yes,1,hapax(1),no
kAmavatI,kāmavatī,no,no,yes,1,hapax(1),no
kAmavfkza,kāmavṛkṣa,yes,yes,yes,1,hapax(1),yes
kAmavfntA,kāmavṛntā,no,yes,no,,,no
kAmbojI,kāmbojī,yes,yes,yes,2,rare(2-9),yes
kAmboja,kāmboja,yes,no,yes,4,common(100-999),no
kAmboji,kāmboji,no,yes,yes,1,hapax(1),no
kAmbojikA,kāmbojikā,no,yes,yes,2,rare(2-9),no
kAmbukA,kāmbukā,yes,yes,no,,,no
kAminI,kāminī,yes,no,yes,4,common(100-999),no
kAminISa,kāminīśa,yes,yes,no,,,no
kAmodI,kāmodī,yes,no,no,,,no
kAmpilya,kāmpilya,yes,no,yes,2,rare(2-9),no
kAmuka,kāmuka,yes,no,yes,3,uncommon(10-99),no
kAmukakAntA,kāmukakāntā,yes,yes,no,,,no
kAnaka,kānaka,yes,no,yes,1,hapax(1),no
kAnanAri,kānanāri,yes,yes,no,,,no
kAntA,kāntā,yes,no,yes,4,common(100-999),no
kAntANGridohada,kāntāṅghridohada,yes,yes,yes,1,hapax(1),yes
kAntAra,kāntāra,yes,no,yes,3,uncommon(10-99),no
kAnta,kānta,yes,no,yes,4,common(100-999),no
kAntalaka,kāntalaka,yes,yes,yes,2,rare(2-9),yes
